fdate,doubleq,avgRET
31dec2005,22,.031552352
31dec2005,23,.04942194
31dec2005,24,.039810214
31dec2005,25,.0065562786
31mar2006,1,.18449846
31mar2006,2,.18490601
31mar2006,3,.16337506
31mar2006,4,.064692959
31mar2006,5,.069357961
31mar2006,6,.22780004
31mar2006,7,.19415636
31mar2006,8,.1176044
31mar2006,9,.11698374
31mar2006,10,.066566356
31mar2006,11,.1805833
31mar2006,12,.19376698
31mar2006,13,.14168321
31mar2006,14,.13276845
31mar2006,15,.075505055
31mar2006,16,.15950684
31mar2006,17,.18886973
31mar2006,18,.12880388
31mar2006,19,.1195222
31mar2006,20,.049016491
31mar2006,21,.1041598
31mar2006,22,.057911329
31mar2006,23,.09605971
31mar2006,24,.054892082
31mar2006,25,.072688654
30jun2006,1,-.084955864
30jun2006,2,-.021512585
30jun2006,3,-.037270527
30jun2006,4,-.02542283
30jun2006,5,-.065482847
30jun2006,6,-.086713187
30jun2006,7,-.06535767
30jun2006,8,-.035416663
30jun2006,9,-.045951739
30jun2006,10,-.06224959
30jun2006,11,-.044742815
30jun2006,12,-.035215538
30jun2006,13,-.037338618
30jun2006,14,-.03950531
30jun2006,15,-.048177529
30jun2006,16,-.0054479004
30jun2006,17,-.028999684
30jun2006,18,-.053929236
30jun2006,19,-.017945765
30jun2006,20,-.010337353
30jun2006,21,.0033937732
30jun2006,22,-.017300088
30jun2006,23,.010205471
30jun2006,24,-.000836475
30jun2006,25,.010748629
30sep2006,1,-.030038111
