date,mgrsizeq,avgRET
30/09/2018,3,.066000491
30/09/2018,4,.065976255
30/09/2018,5,.066179626
30/09/2018,6,.066032201
30/09/2018,7,.066029064
30/09/2018,8,.066388831
30/09/2018,9,.068935588
30/09/2018,10,.066622108
31/12/2018,1,-.1197213
31/12/2018,2,-.11967539
31/12/2018,3,-.11993337
31/12/2018,4,-.12044665
31/12/2018,5,-.12061702
31/12/2018,6,-.12045483
31/12/2018,7,-.12046694
31/12/2018,8,-.12108992
31/12/2018,9,-.12158887
31/12/2018,10,-.12100954
31/03/2019,1,.14962554
31/03/2019,2,.14969143
31/03/2019,3,.14963865
31/03/2019,4,.14962457
31/03/2019,5,.14962335
31/03/2019,6,.14967917
31/03/2019,7,.14975664
31/03/2019,8,.15071508
31/03/2019,9,.15002395
31/03/2019,10,.15049137
30/06/2019,1,.043623049
30/06/2019,2,.043544021
30/06/2019,3,.043640338
30/06/2019,4,.043649402
30/06/2019,5,.04363915
30/06/2019,6,.043646049
30/06/2019,7,.043629393
30/06/2019,8,.04399671
30/06/2019,9,.043771699
30/06/2019,10,.044212352
30/09/2019,1,.012817705
30/09/2019,2,.012896153
30/09/2019,3,.012970092
30/09/2019,4,.012823234
30/09/2019,5,.012813671
30/09/2019,6,.012854368
30/09/2019,7,.013009364
30/09/2019,8,.012961545
30/09/2019,9,.013251454
30/09/2019,10,.013161775
31/12/2019,1,.10147007
31/12/2019,2,.10157638
31/12/2019,3,.10140823
31/12/2019,4,.10160495
31/12/2019,5,.10147017
31/12/2019,6,.10161058
31/12/2019,7,.10163904
31/12/2019,8,.10248103
31/12/2019,9,.10192686
31/12/2019,10,.10221663
31/03/2020,1,-.17647943
31/03/2020,2,-.17627211
31/03/2020,3,-.17643033
31/03/2020,4,-.17632148
31/03/2020,5,-.17646889
31/03/2020,6,-.17630868
31/03/2020,7,-.17644656
31/03/2020,8,-.17589785
31/03/2020,9,-.17167048
31/03/2020,10,-.17454588
30/06/2020,1,.26515612
30/06/2020,2,.26520097
30/06/2020,3,.26499432
30/06/2020,4,.26515564
30/06/2020,5,.26514161
30/06/2020,6,.26497993
30/06/2020,7,.26517233
30/06/2020,8,.26517114
30/06/2020,9,.26780155
30/06/2020,10,.26569608
30/09/2020,1,.10651557
30/09/2020,2,.10644651
30/09/2020,3,.10599669
30/09/2020,4,.10659479
30/09/2020,5,.10644061
30/09/2020,6,.10648438
30/09/2020,7,.10650131
30/09/2020,8,.10652603
30/09/2020,9,.11195967
30/09/2020,10,.10782173
31/12/2020,1,.18324593
31/12/2020,2,.18283893
31/12/2020,3,.18285583
31/12/2020,4,.18291357
31/12/2020,5,.18316057
31/12/2020,6,.18301013
31/12/2020,7,.18316266
31/12/2020,8,.18304063
31/12/2020,9,.18209648
31/12/2020,10,.18282086
